,OMIMID
0,102300
1,147530
2,608622
3,239350
4,608105
5,208700
6,217200
7,267740
8,210050
9,208550
10,258360
11,239350
12,217200
13,208550
14,134510
15,134520
16,134430
17,239350
18,608105
19,217200
20,608105
21,208700
22,217200
23,267740
24,217200
25,608622
26,260970
27,225740
28,217200
29,210050
30,600351
31,608622
32,608622
33,608622
34,147530
35,147530
36,252320
37,147530
38,600808
39,605839
40,147530
41,608622
42,208550
43,191800
44,145590
45,147530
46,608622
47,147530
48,608622
49,145590
50,601608
51,145590
52,208550
53,600351
54,223350
55,166760
56,212130
57,208750
58,225740
59,305300
60,608622
61,608622
62,608622
63,246470
64,223350
65,166300
66,210050
67,600351
68,608622
69,145590
70,147530
71,125320
72,190310
73,107550
74,239350
75,217200
76,147530
77,600808
78,600263
79,176800
80,125320
81,102300
82,102300
83,125320
84,608622
85,608622
86,147530
87,166760
88,608622
89,145590
90,147530
91,166300
92,210050
93,600351
94,608622
95,102300
96,608105
97,208700
98,147530
99,267740
100,147530
101,258360
102,223350
103,264120
104,147540
105,208550
106,147530
107,600351
108,608622
109,601682
110,252320
111,147530
112,166300
113,608622
114,605839
115,246470
116,223350
117,239350
118,217200
119,147530
120,608622
121,208550
122,166760
123,208550
124,608622
125,252320
126,210050
127,208550
128,190310
129,600263
130,258360
131,145590
132,208550
133,166760
134,300125
135,608622
136,600351
137,608622
138,608622
139,259660
140,241519
141,145590
142,208550
143,601682
144,147540
145,145590
146,147540
147,145590
148,182830
149,260970
150,225740
151,602068
152,125320
153,166300
154,600351
155,608622
156,165150
157,156190
158,182830
159,260970
160,225740
161,145590
162,147530
163,136200
164,147530
165,264120
166,210050
167,600351
168,146850
169,208550
170,600351
171,223350
172,147540
173,608622
174,600351
175,608622
176,145590
177,252320
178,147530
179,264120
180,608622
181,147530
182,125320
183,239350
184,300125
185,217200
186,608622
187,246470
188,223350
189,145200
190,601608
191,246470
192,223350
193,190310
194,146850
195,600351
196,147540
197,190310
198,147530
199,608622
200,147530
201,182830
202,260970
203,225740
204,145590
205,147530
206,608622
207,208550
208,223350
209,147540
210,148100
211,145590
212,147530
213,147530
214,147530
215,223350
216,208550
217,147530
218,264120
219,190310
220,125320
221,102300
222,131200
223,190310
224,608105
225,208700
226,217200
227,267740
228,208550
229,223350
230,252320
231,217200
232,607508
233,607498
234,300125
235,239350
236,217200
237,175505
238,246470
239,147530
240,190310
241,600263
242,134430
243,600808
244,131200
245,252320
246,605839
247,190310
248,608622
249,190310
250,308600
251,217200
252,147530
253,145590
254,252320
255,147530
256,147530
257,605839
258,147530
259,131200
260,208550
261,166760
262,145590
263,147530
264,608622
265,601682
266,210050
267,208550
268,600351
269,608622
270,125320
271,145590
272,601682
273,147540
274,190310
275,600263
276,145590
277,608622
278,210050
279,208550
280,125320
281,160300
282,182830
283,608622
284,166300
285,223350
286,145590
287,300125
288,210050
289,208550
290,147530
291,166760
292,608622
293,217200
294,601682
295,300125
296,608622
297,601682
298,113610
299,218200
300,147530
301,601682
302,208550
303,145590
304,208550
305,131200
306,608622
307,147530
308,147530
309,217200
310,608622
311,605839
312,252320
313,252320
314,208550
315,166760
316,145590
317,608622
318,190310
319,600263
320,608622
321,125320
322,131200
323,605839
324,217200
325,605839
326,608622
327,238800
328,147540
329,136200
330,208550
331,608622
332,190310
333,145590
334,125320
335,147530
336,300125
337,109200
338,147530
339,601682
340,608622
341,125320
342,147530
343,125320
344,125320
345,239350
346,217200
347,264120
348,147530
349,300125
350,147530
351,260570
352,190310
353,600263
354,145590
355,608622
356,131200
357,252320
358,208550
359,210050
360,600351
361,608622
362,608622
363,145590
364,147530
365,136200
366,208550
367,608622
368,608622
369,223350
370,147530
371,608622
372,608622
373,264120
374,258360
375,602068
376,210050
377,208550
378,190310
379,190310
380,600351
381,210050
382,208550
383,145590
384,300125
385,176800
386,208550
387,239350
388,217200
389,601608
390,600351
391,131200
392,208550
393,264120
394,600263
395,166760
396,601682
397,601682
398,147530
399,102300
400,147530
401,608622
402,252320
403,147530
404,125320
405,102300
406,147530
407,608622
408,131200
409,600351
410,608622
411,608622
412,246470
413,223350
414,102300
415,147530
416,608622
417,239350
418,217200
419,208550
420,608622
421,608622
422,113610
423,300125
424,218200
425,147540
426,131200
427,210050
428,208550
429,600263
430,146850
431,208550
432,147540
433,605839
434,147530
435,606842
436,608622
437,147530
438,147530
439,147530
440,264120
441,147530
442,608622
443,147530
444,147530
445,241519
446,608622
447,147530
448,208550
449,260570
450,190310
451,601682
452,147530
453,145590
454,147530
455,212110
456,145590
457,608622
458,190310
459,600263
460,210050
461,208550
462,147530
463,147530
464,210050
465,208550
466,260570
467,145590
468,264120
469,608622
470,147530
471,264120
472,147530
473,608622
474,260480
475,239350
476,600351
477,217200
478,208550
479,147530
480,145590
481,608622
482,145590
483,147540
484,190310
485,600263
486,145590
487,608622
488,608622
489,102300
490,147530
491,252320
492,147530
493,264120
494,608622
495,147530
496,147540
497,147540
498,102300
499,147530
500,147530
501,147530
502,208550
503,147530
